Timestamp,PPG_Crudo,PPG_Filtrado,GSR_Crudo,BPM,Ratio_ba,Aging_Index,SCL
18:46:31.723,-108190.0,,270.0,,,,
18:46:31.729,-108189.0,,493.0,,,,
18:46:31.733,-108187.0,,2685.0,,,,
18:46:31.737,-108177.0,,1001.0,,,,
18:46:31.740,-108204.0,,269.0,,,,
18:46:31.744,-108195.0,,490.0,,,,
18:46:31.748,-108185.0,,2684.0,,,,
18:46:31.752,-108232.0,,991.0,,,,
18:46:31.756,-108268.0,,269.0,,,,
18:46:31.760,-108281.0,,490.0,,,,
18:46:31.763,-108295.0,,2586.0,,,,
18:46:31.768,-108324.0,,300.0,,,,
18:46:31.771,-108367.0,,299.0,,,,
18:46:31.775,-108395.0,,764.0,,,,
18:46:31.780,-108409.0,,2584.0,,,,
18:46:31.784,-108461.0,,298.0,,,,
18:46:31.788,-108476.0,,300.0,,,,
18:46:31.792,-108507.0,,764.0,,,,
18:46:31.796,-108526.0,,2574.0,,,,
18:46:31.800,-108583.0,,285.0,,,,
18:46:31.805,-108635.0,,298.0,,,,
18:46:31.809,-108651.0,,764.0,,,,
18:46:31.813,-108644.0,,2575.0,,,,
18:46:31.818,-108705.0,,286.0,,,,
18:46:31.821,-108732.0,,302.0,,,,
18:46:31.826,-108783.0,,777.0,,,,
18:46:31.830,-108805.0,,2586.0,,,,
18:46:31.834,-108849.0,,301.0,,,,
18:46:31.838,-108879.0,,376.0,,,,
18:46:31.842,-108934.0,,1662.0,,,,
18:46:31.846,-108972.0,,2313.0,,,,
18:46:31.850,-109025.0,,253.0,,,,
18:46:31.855,-109076.0,,301.0,,,,
18:46:31.860,-109132.0,,781.0,,,,
18:46:31.865,-109137.0,,2567.0,,,,
18:46:31.870,-109202.0,,270.0,,,,
18:46:31.875,-109248.0,,300.0,,,,
18:46:31.880,-109272.0,,775.0,,,,
18:46:31.885,-109293.0,,2560.0,,,,
18:46:31.890,-109340.0,,269.0,,,,
18:46:31.895,-109365.0,,295.0,,,,
18:46:31.901,-109385.0,,779.0,,,,
18:46:31.905,-109398.0,,2572.0,,,,
18:46:31.910,-109441.0,,268.0,,,,
18:46:31.915,-109473.0,,298.0,,,,
18:46:31.920,-109473.0,,781.0,,,,
18:46:31.927,-109498.0,,2318.0,,,,
18:46:31.931,-109527.0,,157.0,,,,
18:46:31.936,-109523.0,,313.0,,,,
18:46:31.942,-109534.0,,1212.0,,,,
18:46:31.946,-109513.0,,2316.0,,,,
18:46:31.951,-109546.0,,157.0,,,,
18:46:31.956,-109537.0,,313.0,,,,
18:46:31.961,-109533.0,,1211.0,,,,
18:46:31.967,-109530.0,,2311.0,,,,
18:46:31.971,-109573.0,,170.0,,,,
18:46:31.976,-109562.0,,314.0,,,,
18:46:31.981,-109553.0,,1212.0,,,,
18:46:31.986,-109536.0,,2312.0,,,,
18:46:31.992,-109559.0,,157.0,,,,
18:46:31.996,-109571.0,,316.0,,,,
18:46:32.001,-109592.0,,1226.0,,,,
18:46:32.006,-109586.0,,2316.0,,,,
18:46:32.011,-109612.0,,169.0,,,,
18:46:32.016,-109623.0,,316.0,,,,
18:46:32.021,-109637.0,,1224.0,,,,
18:46:32.026,-109649.0,,2312.0,,,,
18:46:32.031,-109685.0,,158.0,,,,
18:46:32.036,-109686.0,,313.0,,,,
18:46:32.042,-109731.0,,1226.0,,,,
18:46:32.046,-109723.0,,2302.0,,,,
18:46:32.051,-109760.0,,171.0,,,,
18:46:32.056,-109798.0,,312.0,,,,
18:46:32.061,-109810.0,,1231.0,,,,
18:46:32.066,-109820.0,,2296.0,,,,
18:46:32.071,-109860.0,,169.0,,,,
18:46:32.076,-109883.0,,311.0,,,,
18:46:32.081,-109892.0,,1239.0,,,,
18:46:32.086,-109916.0,,2300.0,,,,
18:46:32.092,-109963.0,,168.0,,,,
18:46:32.097,-109974.0,,304.0,,,,
18:46:32.103,-109992.0,,1710.0,,,,
18:46:32.108,-110019.0,,2092.0,,,,
18:46:32.112,-110065.0,,186.0,,,,
18:46:32.117,-110073.0,,319.0,,,,
18:46:32.122,-110067.0,,1720.0,,,,
18:46:32.128,-110110.0,,2088.0,,,,
18:46:32.133,-110170.0,,186.0,,,,
18:46:32.138,-110165.0,,327.0,,,,
18:46:32.143,-110194.0,,1722.0,,,,
18:46:32.148,-110214.0,,2078.0,,,,
18:46:32.153,-110268.0,,185.0,,,,
18:46:32.158,-110293.0,,330.0,,,,
18:46:32.163,-110319.0,,1726.0,,,,
18:46:32.168,-110360.0,,2087.0,,,,
18:46:32.173,-110392.0,,188.0,,,,
18:46:32.178,-110423.0,,332.0,,,,
18:46:32.184,-110447.0,,1737.0,,,,
18:46:32.189,-110506.0,,2078.0,,,,
18:46:32.194,-110521.0,,186.0,,,,
18:46:32.199,-110555.0,,330.0,,,,
18:46:32.205,-110571.0,,1738.0,,,,
18:46:32.211,-110594.0,,2087.0,,,,
18:46:32.215,-110635.0,,188.0,,,,
18:46:32.220,-110658.0,,330.0,,,,
18:46:32.223,-110652.0,,1739.0,,,,
18:46:32.227,-110675.0,,2076.0,,,,
18:46:32.232,-110716.0,,188.0,,,,
18:46:32.238,-110742.0,,331.0,,,,
18:46:32.245,-110758.0,,1739.0,,,,
18:46:32.252,-110755.0,,2077.0,,,,
18:46:32.255,-110782.0,,187.0,,,,
18:46:32.262,-110795.0,,328.0,,,,
18:46:32.269,-110813.0,,1740.0,,,,
18:46:32.275,-110814.0,,2074.0,,,,
18:46:32.282,-110851.0,,188.0,,,,
18:46:32.288,-110867.0,,328.0,,,,
18:46:32.294,-110877.0,,2319.0,,,,
18:46:32.300,-110891.0,,1451.0,,,,
18:46:32.306,-110910.0,,236.0,,,,
18:46:32.312,-110918.0,,383.0,,,,
18:46:32.317,-110925.0,,2330.0,,,,
18:46:32.336,-110943.0,,1452.0,,,,
18:46:32.342,-110949.0,,235.0,,,,
18:46:32.348,-110951.0,,391.0,,,,
18:46:32.354,-110976.0,,2334.0,,,,
18:46:32.360,-111003.0,,1437.0,,,,
18:46:32.365,-111044.0,,235.0,,,,
18:46:32.371,-111056.0,,392.0,,,,
18:46:32.377,-111041.0,,2334.0,,,,
18:46:32.381,-111073.0,,1447.0,,,,
18:46:32.387,-111090.0,,234.0,,,,
18:46:32.393,-111114.0,,383.0,,,,
18:46:32.399,-111126.0,,2344.0,,,,
18:46:32.406,-111150.0,,1435.0,,,,
18:46:32.412,-111172.0,,238.0,,,,
18:46:32.419,-111188.0,,392.0,,,,
18:46:32.425,-111183.0,,2344.0,,,,
18:46:32.430,-111174.0,,1434.0,,,,
18:46:32.435,-111214.0,,236.0,,,,
18:46:32.441,-111196.0,,382.0,,,,
18:46:32.446,-111156.0,,2347.0,,,,
18:46:32.449,-111123.0,,1432.0,,,,
18:46:32.453,-111130.0,,237.0,,,,
18:46:32.457,-111080.0,,382.0,,,,
18:46:32.461,-111027.0,,2346.0,,,,
18:46:32.465,-110949.0,,1422.0,,,,
18:46:32.470,-110865.0,,236.0,,,,
18:46:32.474,-110737.0,,383.0,,,,
18:46:32.478,-110589.0,,2358.0,,,,
18:46:32.484,-110411.0,,1417.0,,,,
18:46:32.488,-110235.0,,234.0,,,,
18:46:32.492,-110084.0,,390.0,,,,
18:46:32.497,-109955.0,,2714.0,,,,
18:46:32.501,-109824.0,,840.0,,,,
18:46:32.505,-109675.0,,285.0,,,,
18:46:32.510,-109511.0,,569.0,,,,
18:46:32.514,-109363.0,,2698.0,,,,
18:46:32.519,-109266.0,,829.0,,,,
18:46:32.523,-109180.0,,282.0,,,,
18:46:32.527,-109089.0,,571.0,,,,
18:46:32.531,-109014.0,,2698.0,,,,
18:46:32.536,-108992.0,,829.0,,,,
18:46:32.539,-108965.0,,284.0,,,,
18:46:32.544,-108954.0,,572.0,,,,
18:46:32.548,-108947.0,,2699.0,,,,
18:46:32.551,-108960.0,,826.0,,,,
18:46:32.555,-109010.0,,284.0,,,,
18:46:32.559,-109006.0,,574.0,,,,
18:46:32.564,-109031.0,,2698.0,,,,
18:46:32.569,-109060.0,,822.0,,,,
18:46:32.574,-109091.0,,285.0,,,,
18:46:32.578,-109116.0,,583.0,,,,
18:46:32.582,-109144.0,,2698.0,,,,
18:46:32.586,-109193.0,,811.0,,,,
18:46:32.590,-109213.0,,282.0,,,,
18:46:32.594,-109239.0,,574.0,,,,
18:46:32.598,-109254.0,,2569.0,,,,
18:46:32.602,-109300.0,,699.0,,,,
18:46:32.606,-109333.0,,286.0,,,,
18:46:32.611,-109362.0,,575.0,,,,
18:46:32.615,-109381.0,,2558.0,,,,
18:46:32.619,-109410.0,,697.0,,,,
18:46:32.624,-109438.0,,283.0,,,,
18:46:32.628,-109449.0,,585.0,,,,
18:46:32.633,-109464.0,,2559.0,,,,
18:46:32.637,-109513.0,,697.0,,,,
18:46:32.640,-109527.0,,282.0,,,,
18:46:32.645,-109568.0,,864.0,,,,
18:46:32.649,-109578.0,,2360.0,,,,
18:46:32.653,-109632.0,,173.0,,,,
18:46:32.658,-109667.0,,302.0,,,,
18:46:32.662,-109706.0,,874.0,,,,
18:46:32.666,-109728.0,,2361.0,,,,
18:46:32.666,-109769.0,,169.0,,,,
18:46:32.666,-109804.0,,301.0,,,,
18:46:32.666,-109841.0,,872.0,,,,
18:46:32.686,-109871.0,,2349.0,,,,
18:46:32.686,-109912.0,,168.0,,,,
18:46:32.686,-109940.0,,300.0,,,,
18:46:32.700,-109963.0,,877.0,,,,
18:46:32.702,-109980.0,,2345.0,,,,
18:46:32.708,-110021.0,,170.0,,,,
18:46:32.716,-110047.0,,298.0,,,,
18:46:32.717,-110066.0,,888.0,,,,
18:46:32.725,-110067.0,,2336.0,,,,
18:46:32.725,-110087.0,,170.0,,,,
18:46:32.733,-110094.0,,311.0,,,,
18:46:32.741,-110109.0,,888.0,,,,
18:46:32.742,-110103.0,,2344.0,,,,
18:46:32.750,-110116.0,,169.0,,,,
18:46:32.750,-110137.0,,300.0,,,,
18:46:32.758,-110106.0,,890.0,,,,
18:46:32.766,-110092.0,,2343.0,,,,
18:46:32.766,-110111.0,,159.0,,,,
18:46:32.775,-110102.0,,302.0,,,,
18:46:32.775,-110080.0,,904.0,,,,
18:46:32.783,-110060.0,,2345.0,,,,
18:46:32.791,-110068.0,,158.0,,,,
18:46:32.792,-110057.0,,301.0,,,,
18:46:32.800,-110050.0,,894.0,,,,
18:46:32.800,-110036.0,,2332.0,,,,
18:46:32.808,-110054.0,,157.0,,,,
18:46:32.817,-110027.0,,317.0,,,,
18:46:32.817,-110032.0,,1372.0,,,,
18:46:32.825,-110016.0,,2093.0,,,,
18:46:32.825,-110053.0,,170.0,,,,
18:46:32.833,-110055.0,,316.0,,,,
18:46:32.841,-110031.0,,1373.0,,,,
18:46:32.841,-110046.0,,2078.0,,,,
18:46:32.850,-110051.0,,172.0,,,,
18:46:32.850,-110064.0,,316.0,,,,
18:46:32.860,-110065.0,,1382.0,,,,
18:46:32.867,-110077.0,,2076.0,,,,
18:46:32.867,-110084.0,,175.0,,,,
18:46:32.875,-110101.0,,317.0,,,,
18:46:32.875,-110103.0,,1385.0,,,,
18:46:32.883,-110116.0,,2080.0,,,,
18:46:32.892,-110168.0,,176.0,,,,
18:46:32.892,-110158.0,,318.0,,,,
18:46:32.900,-110196.0,,1388.0,,,,
18:46:32.908,-110195.0,,2076.0,,,,
18:46:32.908,-110244.0,,173.0,,,,
18:46:32.917,-110241.0,,314.0,,,,
18:46:32.917,-110266.0,,1391.0,,,,
18:46:32.925,-110265.0,,2073.0,,,,
18:46:32.933,-110309.0,,168.0,,,,
18:46:32.933,-110330.0,,314.0,,,,
18:46:32.942,-110328.0,,1399.0,,,,
18:46:32.942,-110368.0,,2076.0,,,,
18:46:32.950,-110392.0,,170.0,,,,
18:46:32.950,-110409.0,,314.0,,,,
18:46:32.958,-110398.0,,1399.0,,,,
18:46:32.966,-110430.0,,2064.0,,,,
18:46:32.966,-110453.0,,169.0,,,,
18:46:32.975,-110449.0,,315.0,,,,
18:46:32.975,-110477.0,,1402.0,,,,
18:46:32.984,-110489.0,,2063.0,,,,
18:46:32.992,-110537.0,,172.0,,,,
18:46:32.992,-110551.0,,346.0,,,,
18:46:33.000,-110570.0,,1870.0,,,,
18:46:33.008,-110569.0,,1820.0,,,,
18:46:33.008,-110605.0,,187.0,,,,
18:46:33.017,-110632.0,,334.0,,,,
18:46:33.024,-110630.0,,1870.0,,,,
18:46:33.025,-110644.0,,1817.0,,,,
18:46:33.033,-110684.0,,188.0,,,,
18:46:33.042,-110700.0,,344.0,,,,
18:46:33.042,-110716.0,,1878.0,,,,
18:46:33.050,-110740.0,,1815.0,,,,
18:46:33.050,-110769.0,,191.0,,,,
18:46:33.058,-110768.0,,345.0,,,,
18:46:33.058,-110780.0,,1884.0,,,,
18:46:33.067,-110828.0,,1800.0,,,,
18:46:33.074,-110847.0,,184.0,,,,
18:46:33.075,-110855.0,,343.0,,,,
18:46:33.083,-110859.0,,1885.0,,,,
18:46:33.083,-110888.0,,1788.0,,,,
18:46:33.092,-110918.0,,187.0,,,,
18:46:33.092,-110911.0,,335.0,,,,
18:46:33.100,-110942.0,,1886.0,,,,
18:46:33.108,-110943.0,,1784.0,,,,
18:46:33.108,-110963.0,,189.0,,,,
18:46:33.117,-110981.0,,334.0,,,,
18:46:33.117,-110985.0,,1886.0,,,,
18:46:33.125,-110970.0,,1768.0,,,,
18:46:33.133,-111001.0,,188.0,,,,
18:46:33.134,-111017.0,,333.0,,,,
18:46:33.142,-111007.0,,1885.0,,,,
18:46:33.142,-111013.0,,1758.0,,,,
18:46:33.150,-111038.0,,187.0,,,,
18:46:33.158,-111032.0,,334.0,,,,
18:46:33.159,-111015.0,,1897.0,,,,
18:46:33.167,-111019.0,,1751.0,,,,
18:46:33.167,-111007.0,,254.0,,,,
18:46:33.175,-110952.0,,408.0,,,,
18:46:33.183,-110873.0,,2457.0,,,,
18:46:33.183,-110816.0,,1130.0,,,,
18:46:33.191,-110712.0,,254.0,,,,
18:46:33.191,-110574.0,,406.0,,,,
18:46:33.200,-110393.0,,2446.0,,,,
18:46:33.208,-110217.0,,1117.0,,,,
18:46:33.208,-110085.0,,265.0,,,,
18:46:33.217,-109886.0,,410.0,,,,
18:46:33.217,-109687.0,,2447.0,,,,
18:46:33.225,-109459.0,,1114.0,,,,
18:46:33.233,-109259.0,,253.0,,,,
18:46:33.233,-109080.0,,414.0,,,,
18:46:33.242,-108914.0,,2458.0,,,,
18:46:33.242,-108794.0,,1111.0,,,,
18:46:33.254,-108684.0,,256.0,,,,
18:46:33.258,-108586.0,,413.0,,,,
18:46:33.258,-108535.0,,2458.0,,,,
18:46:33.267,-108502.0,,1103.0,,,,
18:46:33.267,-108481.0,,255.0,,,,
18:46:33.275,-108445.0,,413.0,,,,
18:46:33.283,-108456.0,,2462.0,,,,
18:46:33.283,-108458.0,,1101.0,,,,
18:46:33.292,-108448.0,,256.0,,,,
18:46:33.292,-108448.0,,416.0,,,,
18:46:33.300,-108438.0,,2462.0,,,,
18:46:33.308,-108463.0,,1099.0,,,,
18:46:33.308,-108481.0,,264.0,,,,
18:46:33.317,-108485.0,,421.0,,,,
18:46:33.317,-108495.0,,2473.0,,,,
